filename	topic	secondary_topic	summary
demoted/CANON-30450-PRODUCTION_FRAMEWORKS-asteroid-INTELLIGENCE.md	sn-canon	sn-certescence	Canonicalized content
demoted/CANON-31150-PLATFORM_CAPABILITY_CATALOG.md	sn-canon	sn-certescence	Canonicalized content
demoted/CANON-33111-BIZ_ENHANCE-satellite-BIZ_BACKBONE-lunar-EFFICACY-planetary-EXPERTISE.md	sn-canon	sn-certescence	Canonicalized content
demoted/CANON-34120-SYLLABUS-lunar-MASTERY-planetary-KNOWLEDGE.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00001.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00002.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00003.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00004.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00005.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00006.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00007.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00009.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00010.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00011.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00012.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00013.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00014.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00015.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00016.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-00017.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-10000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-11000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-20000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-20010.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-20020.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-21000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-21100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-22000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-23000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-24000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-25000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-25100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-25200.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-25500.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-25600.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-25610.sn.md	sn-prompt	ai-agents	Agent system prompt
sn_compressed/CANON-30000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-30100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-30200.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-30300.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-30310.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-30320.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-30330.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-30340.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-30400.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-30460.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31110.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31115.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31120.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31121.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31122.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31130.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31140.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-31141.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-33100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-34100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-35200.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/CANON-35210.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_compressed/POC-MANIFEST.json	ai-models		AI model discussion
sn_skeletons/CANON-00000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00001.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00002.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00003.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00004.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00005.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00006.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00007.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00009.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00010.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00011.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00012.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00013.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00014.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00015.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00016.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-00017.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-10000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-11000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-20000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-20010.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-20020.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-21000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-21100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-22000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-23000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-24000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-25000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-25100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-25200.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-25500.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-25600.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-25610.sn.md	sn-prompt	ai-agents	Agent system prompt
sn_skeletons/CANON-30000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-30100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-30200.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-30300.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-30310.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-30320.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-30330.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-30340.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-30400.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-30460.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31110.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31115.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31120.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31121.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31122.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31130.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31140.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31141.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31142.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-31143.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-32000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-32100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-32110.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-32120.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-33000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-33100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-33110.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-33112.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-34000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-34100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-34110.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-35000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-35100.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-35110.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-35120.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-35121.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-35200.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-35210.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-99000.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-APOPTOSIS-PROTOCOL.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-ONTOLOGY-GATE-V1.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-ONTOLOGY-GATE-V2.sn.md	sn-canon	sn-certescence	Canonicalized content
sn_skeletons/CANON-RETIREMENT-PROTOCOL.sn.md	sn-canon	sn-certescence	Canonicalized content
views/CANON-CONFIG.json	sn-canon	sn-certescence	Canonicalized content
views/CANON-GRAPH.mmd	sn-canon	sn-certescence	Canonicalized content
views/CANON-LEDGER.md	sn-canon	sn-certescence	Canonicalized content
views/CANON-SCRIPTURE.md	sn-canon	sn-certescence	Canonicalized content
